,Country Name,2017,2018,2019,Populaition(2021)
1,Afghanistan,36.000,14.127,494.179,38928346
2,Angola,39.000,2.540,2809.626,32866272
3,Albania,62.000,5.232,5395.660,2877797
4,Andorra,76.000,6.752,40897.331,77265
5,United Arab Emirates,77.000,4.145,42701.443,9890402
6,Argentina,74.000,9.666,10056.638,45195774
7,Armenia,68.000,10.005,4604.646,2963243
9,Antigua and Barbuda,72.000,4.851,17376.650,97929
10,Australia,87.000,9.155,54875.286,25499884
12,Azerbaijan,63.000,3.556,4805.754,10139177
13,Burundi,42.000,8.245,228.214,11890784
14,Belgium,85.000,10.765,46591.492,11589623
15,Benin,38.000,2.504,1219.516,12123200
16,Bangladesh,48.000,2.508,1855.740,164689383
17,Bulgaria,67.000,7.343,9879.269,6948445
18,Bahrain,72.000,4.144,23551.930,1701575
19,Bosnia and Herzegovina,65.000,8.891,6119.762,3280819
20,Belarus,71.000,5.527,6837.718,9449323
21,Belize,65.000,5.819,5078.810,397628
23,Bolivia,65.000,6.642,3552.068,11673021
24,Brazil,75.000,9.465,8897.553,212559417
25,Barbados,74.000,6.563,18148.498,287375
26,Bhutan,60.000,3.243,3322.863,771608
27,Botswana,54.000,5.969,7203.064,2351627
28,Central African Republic,30.000,10.995,467.908,4829767
29,Canada,89.000,10.806,46338.341,37742154
30,Switzerland,86.000,11.380,85334.519,8654622
32,Chile,78.000,9.159,14741.714,19116201
33,China,80.000,5.168,10143.838,1439323776
34,Cameroon,43.000,3.465,1533.096,26545863
35,Colombia,77.000,7.625,6424.979,50882891
36,Comoros,42.000,4.902,1401.542,869601
37,Cabo Verde,68.000,5.266,3603.775,555987
38,Costa Rica,77.000,7.296,12693.828,5094118
39,Cuba,81.000,11.187,9125.879,11326616
41,Cyprus,79.000,6.770,29206.077,1207359
42,Germany,85.000,11.450,46794.899,83783942
43,Djibouti,49.000,2.263,3414.916,988000
44,Dominica,66.000,6.475,8516.280,71986
45,Denmark,84.000,10.071,59775.735,5792202
46,Dominican Republic,64.000,5.733,8282.117,10847910
47,Algeria,75.000,6.163,3989.668,43851044
48,Ecuador,78.000,7.865,6222.525,17643054
50,Spain,85.000,8.990,29555.316,46754778
51,Estonia,77.000,6.686,23397.120,1326535
52,Ethiopia,37.000,3.308,855.761,114963588
53,Finland,83.000,9.036,48628.642,5540720
54,Fiji,59.000,3.420,6175.891,896445
55,France,84.000,11.186,40578.644,65273511
56,Gabon,51.000,2.745,7766.997,2225734
57,United Kingdom,87.000,9.904,43070.498,67886011
58,Georgia,65.000,7.113,4697.984,3989167
59,Ghana,42.000,3.489,2246.626,31072940
61,Guinea,35.000,3.639,1058.143,13132795
62,Guinea-Bissau,38.000,7.626,749.454,1968001
63,Equatorial Guinea,43.000,3.062,8419.933,1402985
64,Greece,77.000,7.959,19133.758,10423054
65,Grenada,69.000,4.576,10827.435,112523
67,Guatemala,56.000,6.124,4638.635,17915568
69,Guyana,73.000,4.905,6609.511,786552
70,Honduras,60.000,7.219,2556.457,9904607
71,Croatia,72.000,6.784,15311.767,4105267
72,Haiti,46.000,4.575,1312.771,11402528
73,Hungary,71.000,6.546,16735.660,9660351
74,Indonesia,55.000,2.868,4135.202,273523615
76,India,57.000,2.952,2100.751,1380004385
77,Ireland,82.000,6.860,80886.616,4937786
78,Iraq,53.000,4.244,5980.627,40222493
79,Iceland,86.000,8.443,68941.462,341243
80,Israel,84.000,7.532,43951.248,8655535
81,Italy,82.000,8.675,33641.634,60461826
82,Jamaica,69.000,5.968,5369.498,2961167
83,Jordan,61.000,7.781,4405.487,10203134
84,Japan,84.000,10.748,40777.609,126476461
85,Kazakhstan,73.000,2.818,9812.596,18776707
86,Kenya,54.000,4.306,1912.648,53771296
87,Cambodia,60.000,6.183,1643.121,16718965
88,Kiribati,50.000,11.698,1601.862,119449
89,Kuwait,68.000,5.100,32373.251,4270571
90,Lebanon,69.000,8.675,7578.172,6825445
91,Liberia,39.000,9.039,672.340,5057681
94,Sri Lanka,64.000,3.912,3852.266,21413249
95,Lesotho,48.000,10.901,1113.372,2142249
96,Lithuania,67.000,6.534,19575.768,2722289
97,Luxembourg,84.000,5.286,113218.713,625978
98,Latvia,70.000,6.191,17926.842,1886198
99,Morocco,71.000,5.332,3235.001,36910560
100,Monaco,84.000,1.596,189487.147,39242
101,Moldova,66.000,6.588,4491.689,4033963
102,Madagascar,31.000,4.198,522.990,27691018
103,Maldives,71.000,7.652,10561.614,540544
104,Mexico,73.000,5.379,9950.450,128932753
105,Marshall Islands,61.000,17.002,4073.110,59190
106,North Macedonia,67.000,6.555,6070.388,2083374
107,Mali,39.000,3.732,879.043,20250833
108,Malta,80.000,8.811,30186.196,441543
109,Myanmar,56.000,4.900,1271.112,54409800
110,Montenegro,65.000,8.344,8910.651,628066
111,Mongolia,63.000,3.854,4404.846,3278290
113,Mozambique,46.000,8.092,506.642,31255435
114,Mauritania,41.000,3.579,1743.303,4649658
115,Mauritius,64.000,5.867,11097.169,1271768
116,Malawi,47.000,9.829,591.846,19129952
117,Malaysia,75.000,3.748,11432.823,32365999
118,Namibia,59.000,8.314,5009.686,2540905
120,Niger,34.000,5.288,554.099,24206644
121,Nigeria,41.000,3.091,2229.859,206139589
122,Nicaragua,68.000,8.586,1926.700,6624554
123,Netherlands,85.000,10.032,52476.273,17134872
124,Norway,85.000,10.024,75719.753,5421241
125,Nepal,48.000,4.528,1194.957,29136808
126,Nauru,52.000,8.632,11029.736,10824
127,New Zealand,85.000,9.210,42755.216,4822233
128,Oman,69.000,4.104,17700.703,5106626
129,Pakistan,43.000,3.202,1288.556,220892340
130,Panama,76.000,7.280,15774.255,4314767
131,Peru,77.000,5.198,7027.612,32971854
132,Philippines,53.000,3.954,3485.341,109581078
133,Palau,58.000,10.849,15232.487,18094
134,Papua New Guinea,36.000,2.266,2820.306,8947024
135,Poland,74.000,6.328,15732.203,37846611
137,Portugal,84.000,9.413,23330.817,10196709
138,Paraguay,60.000,6.718,5380.963,7132538
140,Qatar,72.000,2.625,62276.429,2881053
141,Romania,71.000,5.561,12899.346,19237691
142,Rwanda,55.000,6.682,820.149,12952218
143,Saudi Arabia,72.000,5.748,23139.798,34813871
144,Sudan,44.000,4.437,610.928,43849260
145,Senegal,47.000,4.238,1430.148,16743927
146,Singapore,85.000,4.085,65640.708,5850342
147,Solomon Islands,49.000,3.996,2344.049,686884
148,Sierra Leone,38.000,8.290,521.755,7976983
149,El Salvador,74.000,7.093,4167.731,6486205
150,San Marino,81.000,6.914,47731.209,33931
152,Serbia,70.000,8.532,7417.204,8737371
154,Suriname,68.000,7.897,6853.693,586632
155,Slovenia,79.000,8.279,25942.955,2078938
156,Sweden,86.000,10.941,51939.430,10099265
157,Eswatini,57.000,7.257,3915.643,1160164
158,Seychelles,68.000,5.269,16213.481,98347
159,Chad,29.000,4.167,709.540,16425864
160,Togo,42.000,6.087,893.352,8278724
161,Thailand,80.000,3.818,7817.010,69799978
162,Tajikistan,65.000,7.239,890.544,9537645
163,Turkmenistan,71.000,6.607,7612.035,6031200
164,Timor-Leste,50.000,7.612,1583.714,1318445
165,Tonga,55.000,5.055,4903.012,105695
166,Trinidad and Tobago,72.000,6.710,16637.163,1399488
167,Tunisia,68.000,6.821,3574.654,11818619
168,Turkey,77.000,4.124,9121.515,84339067
169,Tuvalu,52.000,19.036,4055.896,11792
170,Tanzania,43.000,4.154,1085.885,59734218
171,Uganda,48.000,4.031,798.586,45741007
172,Ukraine,70.000,7.520,3661.456,43733762
173,Uruguay,78.000,9.015,17688.015,3473730
174,United States,82.000,16.687,65279.529,331002651
175,Uzbekistan,69.000,5.303,1784.010,33469203
177,Vietnam,68.000,5.034,2715.276,97338579
178,Vanuatu,50.000,3.346,3116.298,307145
179,Samoa,54.000,5.472,4322.868,198414
180,South Africa,66.000,8.858,6624.762,59308690
181,Zambia,52.000,5.033,1305.001,18383955
182,Zimbabwe,56.000,8.680,1316.741,14862924
